date,cases,growth_rate
2020-07-11,3237991,2.0178318607153733
2020-07-12,3297076,2.020092262242656
2020-07-13,3355869,2.0197572748602517
2020-07-14,3423296,2.022086371801677
2020-07-15,3490931,2.0200872581615696
2020-07-16,3568033,2.017163478908318
2020-07-17,3639705,2.0164000891367913
2020-07-18,3702175,2.0163377041747954
2020-07-19,3762891,2.0167972851984954
2020-07-20,3824368,2.018493769105492
2020-07-21,3888607,2.017298477321929
2020-07-22,3960522,2.0181701167500985
2020-07-23,4029033,2.015936411341996
2020-07-24,4102241,2.0131643606320737
2020-07-25,4167616,2.0132497963282243
2020-07-26,4222480,2.0153759781340197
2020-07-27,4278427,2.0165351046403814
2020-07-28,4344212,2.01530759204392
2020-07-29,4416044,2.0151463887735934
2020-07-30,4483643,2.0127075280222972
2020-07-31,4551554,2.010037981139816
2020-08-01,4609393,2.009572645093222
2020-08-02,4655662,2.012187278534727
2020-08-03,4700229,2.011441484540659
2020-08-04,4757512,2.01236111385313
2020-08-05,4811945,2.0119722643841866
2020-08-06,4871426,2.0110449864780104
2020-08-07,4929748,2.009303203705632
2020-08-08,4984197,2.009687379114
2020-08-09,5030566,2.009235526398426
2020-08-10,5079299,2.0110824587916722
2020-08-11,5126209,2.009982982894143
2020-08-12,5183020,2.0123719091718018
2020-08-13,5234762,2.008829091507429
2020-08-14,5299526,2.0077026872336017
2020-08-15,5346316,2.0067719759287104
2020-08-16,5387497,2.008302757697713
2020-08-17,5423981,2.0086657286549774
2020-08-18,5469015,2.0079919759379656
2020-08-19,5516408,2.008677824546196
2020-08-20,5560495,2.007783020381732
2020-08-21,5608748,2.0061053700896307
2020-08-22,5652401,2.006406289811815
2020-08-23,5686911,2.006985253199048
2020-08-24,5723343,2.007898222587598
2020-08-25,5763322,2.0077674689723013
2020-08-26,5808842,2.0080166219049596
2020-08-27,5853962,2.007696125890141
2020-08-28,5900891,2.0058501876375328
2020-08-29,5946305,2.0058748469343057
2020-08-30,5981092,2.006927427973997
2020-08-31,6016230,2.006759925499021
2020-09-01,6057907,2.007178557034776
2020-09-02,6098858,2.0081608246878906
2020-09-03,6142639,2.006974587131312
2020-09-04,6192768,2.005053111309245
2020-09-05,6235960,2.0037566986747923
2020-09-06,6267471,2.0042671962684566
2020-09-07,6291016,2.0053649486748757
2020-09-08,6317861,2.005678114839424
2020-09-09,6351756,2.0074264749393453
2020-09-10,6387822,2.0063716141427674
2020-09-11,6435261,2.0052970354513033
2020-09-12,6476264,2.005198009574893
2020-09-13,6510569,2.006018112248757
2020-09-14,6544411,2.0058416147766427
2020-09-15,6583796,2.006783488889587
2020-09-16,6622256,2.0073119391742655
2020-09-17,6667178,2.00633002617062
2020-09-18,6715928,2.0056882949319665
2020-09-19,6758440,2.007576265830048
2020-09-20,6796884,2.005765159901343
2020-09-21,6848379,2.0056013035106255
2020-09-22,6887861,2.0065993478325526
2020-09-23,6926442,2.0068922765883475
2020-09-24,6972152,2.0063237460553154
2020-09-25,7020206,2.005277014976078
2020-09-26,7064600,2.004545838566689
2020-09-27,7101880,2.005984162965696
2020-09-28,7134164,2.0057401179569436
2020-09-29,7176856,2.0062838283791806
2020-09-30,7218052,2.0074990958102457
2020-10-01,7263409,2.0066449590987987
2020-10-02,7317878,2.0048994740382313
2020-10-03,7366505,2.005246131864263
2020-10-04,7402597,2.0059059869121967
2020-10-05,7441432,2.0067653202956537
2020-10-06,7485381,2.0077400251750857
2020-10-07,7536022,2.007373111935437
2020-10-08,7594351,2.0070681779710586
2020-10-09,7650345,2.0059638500969377
2020-10-10,7704419,2.0052285265975147
2020-10-11,7750367,2.006787286176547
2020-10-12,7790890,2.0075821967730056
2020-10-13,7843769,2.0081432404575237
2020-10-14,7903242,2.008590918218786
2020-10-15,7967600,2.00708731367865
2020-10-16,8036049,2.0060983543438695
2020-10-17,8093003,2.008212486875729
2020-10-18,8142357,2.0074413836334877
2020-10-19,8209226,2.007620750554332
2020-10-20,8270314,2.009040192767846
2020-10-21,8333340,2.009631362848487
2020-10-22,8408675,2.0097555120568993
2020-10-23,8489662,2.0072093464635627
2020-10-24,8572483,2.0077023169839774
2020-10-25,8634285,2.0087349549563838
2020-10-26,8700789,2.008965008847198
2020-10-27,8776790,2.0101821765836587
2020-10-28,8855474,2.0110130720634696
2020-10-29,8945642,2.0098336374153445
2020-10-30,9044161,2.0082744102822505
2020-10-31,9133098,2.009066131055422
2020-11-01,9208669,2.0134041012656265
2020-11-02,9292156,2.010924517259692
2020-11-03,9416709,2.013255834132213
